Space,Ceiling_Height,Label
Kitchen,1.69,2
Kitchen,1.69,2
Kitchen,1.69,3
Kitchen,1.69,3
Kitchen,1.69,3
Kitchen,1.69,3
Kitchen,1.69,3
Kitchen,2.05,0
Kitchen,2.05,0
Kitchen,2.05,0
Kitchen,2.05,0
Kitchen,2.05,0
Kitchen,2.05,0
Kitchen,2.05,0
Kitchen,2.05,0
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,1
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,2
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.05,3
Kitchen,2.8,0
Kitchen,2.8,0
Kitchen,2.8,0
Kitchen,2.8,1
Kitchen,2.8,1
Kitchen,2.8,1
Kitchen,2.8,1
Kitchen,2.8,1
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,2
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,2.8,3
Kitchen,3.25,0
Kitchen,3.25,1
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,2
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Kitchen,3.25,3
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,0
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
Multipurpose,1.83,1
